Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_fp16_ratio,aic_mac_int8_ratio,aic_cube_fops,aiv_time(us),aiv_total_cycles,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_misc_ratio,aiv_vector_fops
5,1,1087,45,/model/layers.27/self_attn/Div_2,RealDiv,static,AI_VECTOR_CORE,1785408437021740.435	,1.180,0.970000,1,0,NO,"""1,2,6,1,128;""",FLOAT16;FLOAT16,ND;ND,"""1,2,6,1,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.664,1195,0.04,0.0,0.0,0.007,3328.0
5,1,1088,45,/model/layers.27/self_attn/MatMul,BatchMatMulV2,static,AI_CORE,1785408437021741.635	,9.740,0.070000,24,0,NO,"""1,2,6,1,128;1,2,1,4097,128""",FLOAT16;FLOAT16,ND;ND,"""1,2,6,1,4097""",FLOAT16,ND,N/A,7.857,339406,0.168,0.0,468074496.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1089,45,/model/layers.27/self_attn/Add_3,Add,static,AI_VECTOR_CORE,1785408437021751.395	,3.200,0.010000,48,0,NO,"""1,2,6,1,4097;1,1,1,1,4097""",FLOAT16;FLOAT16,ND;ND,"""1,2,6,1,4097""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,1.504,129975,0.003,0.003,0.0,0.002,89856.0
5,1,1090,45,/model/layers.27/self_attn/Softmax,SoftmaxV2,static,AI_VECTOR_CORE,1785408437021754.615	,2.240,0.000000,12,0,NO,"""1,2,6,1,4097""",FLOAT16,ND,"""1,2,6,1,4097""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,1.463,31607,0.174,0.026,0.0,0.046,503040.0
5,1,1091,45,/model/layers.27/self_attn/v_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785408437021756.875	,10.120,0.260000,16,0,NO,"""1,1536;1536,256;256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,256""",FLOAT16,NCHW,N/A,9.14,263240,0.021,0.0,45375488.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1094,45,/model/layers.27/self_attn/Concat_6,ConcatD,static,AI_VECTOR_CORE,1785408437021767.175	,4.080,0.130000,48,0,NO,"""1,2,4096,128;1,2,1,128""",FLOAT16;FLOAT16,ND;ND,"""1,2,4097,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,2.692,232565,0.0,0.0,0.0,0.036,267200.0
5,1,1095,45,/model/layers.27/self_attn/MatMul_1,BatchMatMulV2,static,AI_CORE,1785408437021771.275	,10.420,0.000000,12,0,NO,"""1,2,6,1,4097;1,2,1,4097,128""",FLOAT16;FLOAT16,ND;ND,"""1,2,6,1,128""",FLOAT16,ND,N/A,9.449,204103,0.234,0.0,391757824.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1098,45,/model/layers.27/self_attn/o_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785408437021781.855	,12.320,0.080000,24,0,NO,"""1,1536;1536,1536""",FLOAT16;FLOAT16,ND;ND,"""1,1536""",FLOAT16,NCHW,N/A,10.65,460092,0.038,0.0,142237696.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1099,45,/model/layers.27/Add/model/layers.27/post_attention_layernorm/Cast/model/layers.27/post_attention_layernorm/Pow/SquarePartitionedCall_/model/layers.27/post_attention_layernorm/ReduceMean_ReduceMean_2721/model/layers.27/post_attention_layernorm/Add/model/layers.27/post_attention_layernorm/Sqrt/model/layers.27/post_attention_layernorm/Divtrans_Cast_55/model/layers.27/post_attention_layernorm/Mul/model/layers.27/post_attention_layernorm/Mul_1,Add,static,AI_VECTOR_CORE,1785408437021794.195	,1.620,0.180000,1,0,NO,"""1,1,1536;1,1,1536;;;1536""",FLOAT16;FLOAT16;FLOAT;FLOAT;FLOAT16,NCHW;NCHW;NCHW;NCHW;NCHW,"""1,1,1536;1,1,1536""",FLOAT16;FLOAT16,NCHW;NCHW,N/A,0.0,0,0.0,0.0,0.0,1.083,1950,0.071,0.018,0.0,0.006,13792.0
5,1,1100,45,/model/layers.27/mlp/gate_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785408437021795.835	,28.160,0.000000,18,0,NO,"""1,1536;1536,8960""",FLOAT16;FLOAT16,ND;ND,"""1,8960""",FLOAT16,NCHW,N/A,24.549,795388,0.127,0.0,830021632.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1101,45,/model/layers.27/mlp/up_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785408437021824.015	,25.560,0.090000,18,0,NO,"""1,1536;1536,8960""",FLOAT16;FLOAT16,ND;ND,"""1,8960""",FLOAT16,NCHW,N/A,23.317,755467,0.134,0.0,829734912.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1102,45,/model/layers.27/mlp/act_fn/Sigmoid/model/layers.27/mlp/act_fn/Mul/model/layers.27/mlp/Mul,AutomaticBufferFusionOp,static,AI_VECTOR_CORE,1785408437021849.615	,2.040,0.000000,9,0,NO,"""1,1,8960;1,1,8960;1,1,8960""",FLOAT16;FLOAT16;FLOAT16,NCHW;NCHW;NCHW,"""1,1,8960""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,1.083,17544,0.064,0.008,0.0,0.005,92192.0
5,1,1103,45,/model/layers.27/mlp/down_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785408437021851.675	,37.140,0.210000,24,0,NO,"""1,8960;8960,1536""",FLOAT16;FLOAT16,ND;ND,"""1,1536""",FLOAT16,NCHW,N/A,35.27,1523674,0.066,0.0,830038016.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1104,45,/model/layers.27/Add_1/model/norm/Cast/model/norm/Pow/SquarePartitionedCall_/model/norm/ReduceMean_ReduceMean_2821/model/norm/Add/model/norm/Sqrt/model/norm/Divtrans_Cast_56/model/norm/Mul/model/norm/Mul_1,Add,static,AI_VECTOR_CORE,1785408437021888.835	,1.620,0.000000,1,0,NO,"""1,1,1536;1,1,1536;;;1536""",FLOAT16;FLOAT16;FLOAT;FLOAT;FLOAT16,NCHW;NCHW;NCHW;NCHW;NCHW,"""1,1,1536""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,1.056,1900,0.073,0.019,0.0,0.006,13792.0
5,1,1105,45,/lm_head/MatMul,BatchMatMulV2,static,AI_CORE,1785408437021890.495	,360.280,0.130000,24,0,NO,"""1,1536;151936,1536""",FLOAT16;FLOAT16,ND;ND,"""1,151936""",FLOAT16,NCHW,N/A,344.684,14890358,0.116,0.0,14090723328.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,1106,45,/Cast,Cast,static,AI_VECTOR_CORE,1785408437022250.795	,10.100,0.000000,48,0,NO,"""1,1,151936""",FLOAT16,NCHW,"""1,1,151936""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,6.862,592901,0.004,0.0,0.0,0.0,161152.0
5,1,0,45,MY_/model/Trilu_Tril,Tril,static,AI_VECTOR_CORE,1785408437023737.675	,1.380,1476.900000,1,0,NO,"""1,1,1""",FLOAT,NCHW,"""1,1,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.814,1466,0.0,0.0,0.0,0.001,64.0
5,1,1,45,/model/Cast_1,Cast,static,AI_VECTOR_CORE,1785408437023739.075	,2.980,0.000000,9,0,NO,"""1,1,4097""",INT64,NCHW,"""1,1,4097""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,1.671,27077,0.0,0.0,0.0,0.007,6016.0
5,1,2,45,PartitionedCall_/model/embed_tokens/Gather_gatherv2_3,GatherV2,static,AI_VECTOR_CORE,1785408437023742.095	,7.320,0.020000,48,0,NO,"""151936,1536;1,1;""",FLOAT16;INT64;INT32,NCHW;NCHW;NCHW,"""1,1,1536""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,3.78,326627,0.0,0.0,0.0,0.001,13824.0
5,1,3,45,/model/layers.0/input_layernorm/Cast,Cast,static,AI_VECTOR_CORE,1785408437023749.435	,1.300,0.180000,2,0,NO,"""1,1,1536""",FLOAT16,NCHW,"""1,1,1536""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.681,2451,0.01,0.0,0.0,0.005,1920.0
5,1,4,45,/model/layers.0/input_layernorm/Pow/SquarePartitionedCall_/model/layers.0/input_layernorm/ReduceMean_ReduceMean_440,Square,static,AI_VECTOR_CORE,1785408437023750.755	,1.300,0.000000,1,0,NO,"""1,1,1536""",FLOAT,NCHW,"""1,1,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.782,1408,0.051,0.0,0.0,0.004,4768.0
5,1,5,45,/model/layers.0/input_layernorm/Add/model/layers.0/input_layernorm/Sqrt/model/layers.0/input_layernorm/Div,AutomaticBufferFusionOp,static,AI_VECTOR_CORE,1785408437023752.075	,1.260,0.000000,1,0,NO,"""1,1,1;;""",FLOAT;FLOAT;FLOAT,NCHW;NCHW;NCHW,"""1,1,1""",FLOAT,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.734,1322,0.002,0.0,0.0,0.003,320.0
5,1,6,45,trans_Cast_0/model/layers.0/input_layernorm/Mul,Cast,static,AI_VECTOR_CORE,1785408437023753.355	,1.380,0.000000,2,0,NO,"""1,1,1;1,1,1536""",FLOAT;FLOAT16,NCHW;NCHW,"""1,1,1536""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.724,2608,0.005,0.005,0.0,0.005,2880.0
5,1,7,45,/model/layers.0/input_layernorm/Mul_1,Mul,static,AI_VECTOR_CORE,1785408437023754.755	,1.480,0.120000,1,0,NO,"""1536;1,1,1536""",FLOAT16;FLOAT16,NCHW;NCHW,"""1,1,1536""",FLOAT16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.932,1678,0.007,0.007,0.0,0.004,2496.0
5,1,9,45,/model/layers.0/self_attn/q_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785408437023756.295	,12.080,0.020000,24,0,NO,"""1,1536;1536,1536;1536""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,1536""",FLOAT16,NCHW,N/A,10.231,441975,0.039,0.0,142311424.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,11,45,/model/layers.0/self_attn/k_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785408437023768.455	,9.600,0.170000,16,0,NO,"""1,1536;1536,256;256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,256""",FLOAT16,NCHW,N/A,8.605,247820,0.022,0.0,45326336.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,13,45,/model/layers.0/self_attn/v_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785408437023778.115	,9.760,0.000000,16,0,NO,"""1,1536;1536,256;256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,256""",FLOAT16,NCHW,N/A,8.741,251734,0.022,0.0,45162496.0,0.0,0,0.0,0.0,0.0,0.0,0.0
