Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
5,te_add_a19c274e9222a5f3daaa2e27163ccfc04ff50f31d9f42fa6db6f36380f6185bc__kernel0,AI_VECTOR_CORE,45,95,7.320,1785400772461179.005	,1785400772461186.325	
5,te_softmaxv2_675654d044d110d635d37aabfe0704bf11353c7fa13156e498a72f2a08e21d02__kernel0,AI_VECTOR_CORE,45,96,3.740,1785400772461186.345	,1785400772461190.085	
5,te_batchmatmulv2_21274bfb90e61e96033976ae0d2c5f984ebaf3368052454afdb1d5cc7eb8ba94__kernel0,AI_CORE,45,97,11.920,1785400772461190.105	,1785400772461202.025	
5,te_batchmatmulv2_1a7623436760f43f8830108778d226c7539c93ee710d41b677899594c532065f__kernel0,AI_CORE,45,98,14.660,1785400772461202.045	,1785400772461216.705	
5,te_fused_op_add_cast_square_reduce_mean_d_add_sqrt_real_div_cast_mul_mul_b4184ab7a50f49d5ec24152102e1a0837f5b5f6af2def2ac01221b5f00656995__kernel0,AI_VECTOR_CORE,45,99,1.540,1785400772461216.725	,1785400772461218.265	
5,te_batchmatmulv2_5bc4a3f4457a6a5a114b79bff1e406a6d4713daf9a5783dfd4c31d81cd973027__kernel0,AI_CORE,45,100,51.380,1785400772461218.285	,1785400772461269.665	
5,te_batchmatmulv2_5bc4a3f4457a6a5a114b79bff1e406a6d4713daf9a5783dfd4c31d81cd973027__kernel0,AI_CORE,45,101,52.120,1785400772461269.685	,1785400772461321.805	
5,te_fused_op_sigmoid_mul_mul_91049156346eda8b712594a3bab86d59e5bda1ae01fb825b2a6bbcb27794ed85__kernel0,AI_VECTOR_CORE,45,102,2.620,1785400772461321.845	,1785400772461324.465	
5,te_batchmatmulv2_0ae2c276ead816541e48edd7baf2088182e52eedbb2a5e7ee27f3dc91e40e7cb__kernel0,AI_CORE,45,103,65.080,1785400772461324.505	,1785400772461389.585	
5,te_fused_op_add_cast_square_reduce_mean_d_add_sqrt_real_div_cast_mul_mul_b4184ab7a50f49d5ec24152102e1a0837f5b5f6af2def2ac01221b5f00656995__kernel0,AI_VECTOR_CORE,45,104,1.560,1785400772461389.605	,1785400772461391.165	
5,N/A,EVENT_RECORD,45,105,0.020,1785400772461391.185	,1785400772461391.205	
5,te_batchmatmulv2_361169014e115f621781e5268aa613ed9c5ffedb4a2bd9cf6672ef848806874c__kernel0,AI_CORE,45,106,14.940,1785400772461391.225	,1785400772461406.165	
5,N/A,EVENT_RESET,44,14,0.100,1785400772461392.145	,1785400772461392.245	
5,N/A,EVENT_RECORD,44,15,0.020,1785400772461392.265	,1785400772461392.285	
5,N/A,EVENT_RECORD,44,16,0.020,1785400772461392.305	,1785400772461392.325	
