Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_fp16_ratio,aic_mac_int8_ratio,aic_cube_fops,aiv_time(us),aiv_total_cycles,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_misc_ratio,aiv_vector_fops
5,1,970,45,/model/layers.25/self_attn/q_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785400772340160.705	,12.320,0.070000,24,0,NO,"""1,1536;1536,1536;1536""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,1536""",FLOAT16,NCHW,N/A,10.333,446367,0.039,0.0,142163968.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,972,45,/model/layers.25/self_attn/k_proj/MatMul,BatchMatMulV2,static,AI_CORE,1785400772340173.085	,9.320,0.000000,16,0,NO,"""1,1536;1536,256;256""",FLOAT16;FLOAT16;FLOAT16,ND;ND;NCHW,"""1,256""",FLOAT16,NCHW,N/A,8.261,237912,0.023,0.0,45277184.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5,1,976,45,PartitionedCall_/model/layers.25/self_attn/Gather_3_gatherv2_272,GatherV2,static,AI_VECTOR_CORE,1785400772340184.725	,1.560,2.430000,1,0,NO,"""4097,128;1,1;""",FLOAT16;INT64;INT32,ND;ND;ND,"""1,1,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.991,1784,0.0,0.0,0.0,0.005,288.0
5,1,979,45,PartitionedCall_/model/layers.25/self_attn/Gather_4_gatherv2_277,GatherV2,static,AI_VECTOR_CORE,1785400772340186.445	,1.280,0.190000,1,0,NO,"""4097,128;1,1;""",FLOAT16;INT64;INT32,ND;ND;ND,"""1,1,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.778,1401,0.0,0.0,0.0,0.006,288.0
5,1,982,45,NPURotaryPosEmb_51,RotaryPositionEmbedding,static,MIX_AIV,1785400772340189.125	,2.560,1.220000,2,0,NO,"""1,2,1,128;1,1,1,128;1,1,1,128""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1,2,1,128""",FLOAT16,ND,0,0.0,0,0.0,0.0,0.0,2.181,7851,0.003,0.0,0.0,0.004,2752.0
5,1,983,45,/model/layers.25/self_attn/Concat_5,ConcatD,static,AI_VECTOR_CORE,1785400772340192.705	,8.540,1.190000,48,0,NO,"""1,2,4096,128;1,2,1,128""",FLOAT16;FLOAT16,ND;ND,"""1,2,4097,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,6.619,571844,0.0,0.0,0.0,0.015,267200.0
5,1,984,45,/model/layers.25/self_attn/Expand,Expand,static,AI_VECTOR_CORE,1785400772340201.265	,6.240,0.000000,48,0,NO,"""1,2,1,4097,128;5""",FLOAT16;INT64,ND;ND,"""1,2,6,4097,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,4.597,397141,0.0,0.0,0.0,0.0,3072.0
5,1,987,45,NPURotaryPosEmb_50,RotaryPositionEmbedding,static,MIX_AIV,1785400772340208.865	,3.760,1.260000,12,0,NO,"""1,12,1,128;1,1,1,128;1,1,1,128""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1,12,1,128""",FLOAT16,ND,0,0.0,0,0.0,0.0,0.0,2.297,49622,0.003,0.0,0.0,0.004,16512.0
5,1,988,45,/model/layers.25/self_attn/Div_2,RealDiv,static,AI_VECTOR_CORE,1785400772340213.645	,1.220,1.240000,1,0,NO,"""1,12,1,128;""",FLOAT16;FLOAT16,ND;ND,"""1,12,1,128""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.729,1312,0.037,0.0,0.0,0.006,3328.0
5,1,989,45,/model/layers.25/self_attn/MatMul,BatchMatMulV2,static,AI_CORE,1785400772340214.885	,10.480,0.030000,24,0,NO,"""1,12,1,128;1,12,4097,128""",FLOAT16;FLOAT16,ND;ND,"""1,12,1,4097""",FLOAT16,NCHW,N/A,8.354,360897,0.159,0.0,468803584.0,0.0,0,0.0,0.0,0.0,0.0,0.0
